variant,class,roughness,slope_mean,slope_p90,tri,hf_energy,rel_std,macro_corr
raw,flat,0.01236,0.01236,0.02233,0.03175,0.02759,0.02687,1.0
raw,hilly,0.01258,0.01258,0.02295,0.03212,0.0398,0.02687,1.0
raw,mountain,0.01222,0.01222,0.02198,0.03126,0.02364,0.02577,1.0
+erosion,flat,0.01166,0.01166,0.02466,0.03156,0.03977,0.02613,0.99403
+erosion,hilly,0.01172,0.01172,0.0245,0.03172,0.05218,0.0255,0.99433
+erosion,mountain,0.01185,0.01185,0.02477,0.03211,0.03435,0.02579,0.99377
+thermal,flat,0.0133,0.0133,0.02278,0.03225,0.00427,0.02925,0.99597
+thermal,hilly,0.01395,0.01395,0.02407,0.03359,0.00619,0.0313,0.9945
+thermal,mountain,0.01288,0.01288,0.02208,0.03121,0.00377,0.02763,0.99618
+power,flat,0.0117,0.0117,0.02087,0.03016,0.02571,0.02506,0.99593
+power,hilly,0.0117,0.0117,0.02078,0.02999,0.04052,0.02441,0.99534
+power,mountain,0.01142,0.01142,0.02028,0.02929,0.02317,0.02362,0.99591
+warp,flat,0.01236,0.01236,0.02259,0.03106,0.02777,0.02739,0.99475
+warp,hilly,0.01254,0.01254,0.0229,0.03141,0.03981,0.0273,0.99472
+warp,mountain,0.01219,0.01219,0.02216,0.03057,0.0244,0.02643,0.99398
+full,flat,0.00995,0.00995,0.02191,0.02561,0.0404,0.02559,0.96286
+full,hilly,0.01297,0.01297,0.02471,0.03046,0.03222,0.02897,0.9882
+full,mountain,0.01131,0.01131,0.0226,0.02721,0.03029,0.02552,0.96962
real,flat,0.01666,0.01666,0.04063,0.04846,0.19396,0.0425,nan
real,hilly,0.022,0.022,0.04086,0.05896,0.1181,0.05029,nan
real,mountain,0.00935,0.00935,0.01766,0.02416,0.03833,0.02173,nan
